#!jraceman -import
!exportVersion 2
!appInfo JRaceman v2.0

!table permission
!columns "id","name","description"
"P1","view_auth","Can view tables in the auth group"
"P2","edit_auth","Can view tables in the auth group"
"P3","view_sport","Can view tables in the sport group"
"P4","edit_sport","Can view tables in the sport group"
"P5","view_plan","Can view tables in the plan group"
"P6","edit_plan","Can view tables in the plan group"
"P7","view_venue","Can view tables in the venue group"
"P8","edit_venue","Can view tables in the venue group"
"P9","view_roster","Can view tables in the roster group"
"P10","edit_roster","Can view tables in the roster group"
"P11","view_regatta","Can view tables in the regatta group"
"P12","edit_regatta","Can view tables in the regatta group"
"P13","view_config","Can view tables in the config group"
"P14","edit_config","Can view tables in the config group"

!table role
!columns "id","name","description"
"R1","guru","All permissions"

!table rolepermission
!columns "id","roleid","permissionid"
"RP1","R1","P1"
"RP2","R1","P2"
"RP3","R1","P3"
"RP4","R1","P4"
"RP5","R1","P5"
"RP6","R1","P6"
"RP7","R1","P7"
"RP8","R1","P8"
"RP9","R1","P9"
"RP10","R1","P10"
"RP11","R1","P11"
"RP12","R1","P12"
"RP13","R1","P13"
"RP14","R1","P14"

